id,name,link,regular_price,promo_price,brand
364689,"Кулич Миланесе Panettone с цукатами и изюмом, 500г",https://online.metro-cc.ru/products/kulich-pashalnyj-milanese-s-cukatami-izyumom-500g,529,,МИЛАНЕСЕ
332931,"Батончик Mars Minis шоколадный с нугой и карамелью, 182г",https://online.metro-cc.ru/products/mars-minis-180g-332931,197,,MARS
333635,"Батончик Milky Way Minis шоколадный с суфле, покрытый молочным шоколадом, 176г",https://online.metro-cc.ru/products/milkyway-minis-176g,197,,MILKY WAY
26450,"Конфеты Guylian Морские ракушки шоколадные, 500г",https://online.metro-cc.ru/products/shokoladnye-guylian-morskie-rakushki-500g,1 699,,GUYLIAN
239422,"Конфеты Ferrero Rocher Бриллиант хрустящие с лесным орехом, 300г",https://online.metro-cc.ru/products/hrustyaschie-ferrero-rocher-iz-molochnogo-shokolada-pokrytye-izmelchennymi-oreshkami-s-nachinkoj-iz-krema-lesnogo-oreha-300g,1 259,,FERRERO
400891,"Шоколадное яйцо Kinder Surprise Maxi, 100г",https://online.metro-cc.ru/products/yajco-kinder-syurpriz-maxi-iz-molochnogo-shokolada-c-molochnym-vnutrennim-sloem-igrushkoj-vnutri-liga-spravedlivosti-100g,539,,KINDER SURPRISE
92487,"Конфеты Ferrero Rocher шоколадные, 200г",https://online.metro-cc.ru/products/hrustyaschie-ferrero-rocher-iz-molochnogo-shokolada-pokrytye-izmelchennymi-oreshkami-s-nachinkoj-iz-krema-lesnogo-oreha-200g,639,,FERRERO
74813,"Леденцы Bon Pari ассорти, 1кг",https://online.metro-cc.ru/products/karamel-bon-pari-assorti-1-kg,449,,BON PARI
134241,"Батончик BabyFox с молочной начинкой, 45г",https://online.metro-cc.ru/products/batonchik-babyfox-s-molochnoy-nachinkoy-45g,41.50,25,BABYFOX
121016,"Конфеты Красный Октябрь Мишка косолапый, 200г",https://online.metro-cc.ru/products/200g-krasnyj-oktyabr-mishka-kosolapyj,215,179,КРАСНЫЙ ОКТЯБРЬ
